prefecture,anaslo_tenpo_name,url,url_tenpo_name
北海道,BIG大王東店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/big%e5%a4%a7%e7%8e%8b%e6%9d%b1%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,big大王東店
北海道,CREV伊達店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/crev%e4%bc%8a%e9%81%94%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,crev伊達店
北海道,EBH,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/ebh-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,ebh
北海道,INDY函館,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/indy%e5%87%bd%e9%a4%a8-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,indy函館
北海道,KEIO湯川店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/keio%e6%b9%af%e5%b7%9d%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,keio湯川店
北海道,KEIZ手稲店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/keiz%e6%89%8b%e7%a8%b2%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,keiz手稲店
北海道,MEGA M'S1121西岡店,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/mega-ms1121%e8%a5%bf%e5%b2%a1%e5%ba%97-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,mega-ms1121西岡店
北海道,monako monako,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/monako-monako-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,monako-monako
北海道,SLOT BAR M's,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/slot-bar-ms-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,slot-bar-ms
北海道,ZEUS,https://ana-slo.com/%e3%83%9b%e3%83%bc%e3%83%ab%e3%83%87%e3%83%bc%e3%82%bf/%e5%8c%97%e6%b5%b7%e9%81%93/zeus-%e3%83%87%e3%83%bc%e3%82%bf%e4%b8%80%e8%a6%a7/,zeus
